Common_Name,Habitat_Type,Obs_Depth_m,Body_Length_cm,Body_Weight_kg,Sex,Water_Temp_C,Salinity_ppt,pH,Estimated_Age_yr
Yellowfin Tuna,Marine,736.0,232.9,174.8,Juvenile,1.2,34.9,7.72,4.7
Bluefin Tuna,Marine,469.1,402.4,603.034,Female,4.1,34.7,8.29,16.3
Swordfish,Marine,246.5,381.9,449.815,Juvenile,3.7,34.9,8.15,5.2
Blue Marlin,Marine,519.2,739.2,805.709,Female,1.3,35.0,8.22,9.4
Swordfish,Marine,450.8,387.7,833.318,Male,3.3,33.3,7.97,5.2
Swordfish,Marine,290.9,416.5,546.724,Male,1.8,35.5,7.53,5.6
Blue Marlin,Marine,427.0,495.7,738.829,Juvenile,3.4,36.8,8.33,9.1
Sailfish,Marine,188.7,295.9,100.217,Male,27.5,33.9,7.55,4.9
Sailfish,Marine,192.4,312.1,97.907,Male,21.1,36.3,7.65,6.8
Swordfish,Marine,395.3,469.2,571.054,Female,1.0,36.9,7.83,6.1
Mahi-Mahi,Marine,155.5,188.4,43.448,Male,26.6,35.1,8.29,2.3
Blue Marlin,Marine,254.4,576.1,1193.517,Male,1.9,36.1,7.55,10.4
Swordfish,Marine,403.6,403.1,691.304,Female,2.2,33.5,8.3,5.1
Wahoo,Marine,142.4,267.4,90.288,Female,19.6,35.0,8.24,5.6
Swordfish,Marine,591.3,485.2,495.88,Juvenile,4.8,33.9,7.79,3.1
Mahi-Mahi,Marine,169.2,262.8,35.827,Juvenile,18.8,34.6,7.62,0.3
Sailfish,Marine,290.3,321.9,98.09,Juvenile,2.5,33.5,7.64,5.3
Albacore Tuna,Marine,322.3,139.4,51.654,Male,5.9,34.0,7.59,8.1
Albacore Tuna,Marine,304.5,118.5,48.223,Juvenile,2.4,36.3,8.27,10.2
Yellowfin Tuna,Marine,525.6,214.6,182.495,Male,3.6,34.8,7.5,2.4
Wahoo,Marine,134.4,234.6,71.2,Female,20.1,37.0,8.33,3.7
Albacore Tuna,Marine,162.9,97.2,39.568,Female,27.1,34.6,7.95,10.5
Sailfish,Marine,135.2,345.7,97.821,Juvenile,18.9,36.1,7.75,1.2
Swordfish,Marine,651.2,362.9,637.325,Male,1.4,34.3,7.97,5.8
Wahoo,Marine,143.6,250.2,92.395,Juvenile,23.6,35.9,8.0,9.5
Mahi-Mahi,Marine,191.0,229.6,46.086,Male,19.5,37.0,7.6,2.0
Yellowfin Tuna,Marine,487.7,191.9,229.205,Juvenile,2.5,36.4,7.75,4.1
Albacore Tuna,Marine,274.4,165.4,65.202,Male,1.6,33.7,7.6,6.3
Yellowfin Tuna,Marine,655.5,268.6,215.761,Juvenile,5.6,33.6,8.02,4.4
Blue Marlin,Marine,378.6,514.0,1079.102,Female,5.5,34.2,8.2,13.4
Blue Marlin,Marine,310.7,577.2,1116.387,Male,3.2,34.8,7.83,11.6
Yellowfin Tuna,Marine,649.4,232.9,203.701,Male,5.6,33.9,7.65,4.6
Mahi-Mahi,Marine,139.1,219.4,40.456,Juvenile,24.0,34.6,7.88,3.8
Mahi-Mahi,Marine,174.2,196.7,25.36,Female,23.2,35.9,8.3,1.8
Mahi-Mahi,Marine,190.7,210.4,29.553,Juvenile,18.2,35.9,7.84,1.8
Albacore Tuna,Marine,133.8,164.2,54.47,Juvenile,27.2,34.0,7.81,6.4
Mahi-Mahi,Marine,217.9,217.2,36.128,Male,3.0,34.7,7.78,1.8
Albacore Tuna,Marine,452.1,126.3,56.622,Female,5.4,33.2,7.92,8.9
Albacore Tuna,Marine,149.9,125.8,67.614,Juvenile,27.5,33.5,8.21,9.2
Mahi-Mahi,Marine,69.1,199.5,45.08,Juvenile,28.6,35.9,8.01,4.4
Blue Marlin,Marine,1000.0,490.9,990.574,Male,2.7,33.6,7.89,15.2
Yellowfin Tuna,Marine,855.1,185.8,179.543,Female,2.4,33.7,7.77,2.9
Swordfish,Marine,373.6,495.5,655.296,Juvenile,4.6,34.8,7.61,4.3
Mahi-Mahi,Marine,214.2,239.7,25.633,Juvenile,1.5,33.7,7.84,2.3
Sailfish,Marine,212.5,330.0,102.371,Male,2.4,34.7,7.9,5.2
Blue Marlin,Marine,874.1,620.5,975.195,Male,1.9,36.1,7.78,9.1
Wahoo,Marine,0.0,254.7,66.988,Female,22.6,34.9,8.35,4.5
Yellowfin Tuna,Marine,319.6,246.4,232.7,Female,2.9,36.2,8.19,4.9
Sailfish,Marine,131.5,287.2,112.863,Male,29.5,36.1,8.29,3.9
Swordfish,Marine,306.7,333.0,675.6,Male,2.2,33.2,7.92,6.2
Albacore Tuna,Marine,568.3,157.2,59.001,Female,4.4,34.8,7.56,2.6
Sailfish,Marine,175.2,381.9,108.385,Male,27.7,36.0,8.04,7.9
Wahoo,Marine,140.3,229.1,79.204,Male,18.9,36.8,7.91,3.4
Blue Marlin,Marine,399.3,448.6,846.2,Female,1.9,36.2,7.77,22.3
Wahoo,Marine,303.2,273.2,68.162,Male,4.6,36.8,7.85,7.6
Swordfish,Marine,719.3,471.5,675.937,Male,5.6,33.0,7.64,6.8
Sailfish,Marine,278.8,329.2,116.146,Male,2.0,34.7,7.96,7.1
Sailfish,Marine,155.2,363.2,100.319,Female,28.4,33.1,7.76,3.5
Swordfish,Marine,588.6,412.6,461.628,Juvenile,1.1,36.2,7.8,2.7
Sailfish,Marine,185.8,290.1,75.432,Male,18.9,35.5,8.13,6.0
Sailfish,Marine,156.3,314.1,84.022,Male,26.4,33.3,8.36,3.8
Blue Marlin,Marine,652.7,445.2,723.925,Female,4.1,34.5,7.84,10.2
Albacore Tuna,Marine,206.3,159.3,39.882,Female,2.4,34.9,8.1,6.4
Mahi-Mahi,Marine,73.4,191.7,32.852,Female,18.2,36.0,8.19,1.5
Albacore Tuna,Marine,302.4,105.3,42.693,Juvenile,3.4,35.0,8.19,4.5
Mahi-Mahi,Marine,169.5,178.1,38.495,Juvenile,27.6,35.7,7.78,2.6
Blue Marlin,Marine,713.4,508.8,761.754,Female,4.8,35.5,7.57,16.7
Blue Marlin,Marine,949.9,435.0,502.819,Juvenile,3.6,36.7,8.01,12.2
Yellowfin Tuna,Marine,434.0,218.3,270.476,Female,5.6,36.2,7.92,4.4
Swordfish,Marine,728.3,394.0,445.536,Female,3.0,33.8,7.74,5.9
Sailfish,Marine,314.0,328.1,81.257,Male,5.3,35.2,7.81,7.5
Albacore Tuna,Marine,600.0,138.3,85.497,Juvenile,2.9,34.4,8.32,8.1
Blue Marlin,Marine,998.4,564.9,825.621,Female,2.2,36.8,7.68,17.9
Sailfish,Marine,246.0,361.7,84.53,Female,4.7,35.8,8.1,7.7
Swordfish,Marine,337.4,421.2,491.6,Male,3.9,36.4,8.29,6.1
Wahoo,Marine,167.9,258.7,69.818,Male,29.4,36.9,8.0,4.8
Blue Marlin,Marine,711.2,469.8,715.8,Female,4.4,33.5,7.94,10.2
Wahoo,Marine,335.0,243.8,74.473,Juvenile,4.3,34.8,8.02,6.5
Bluefin Tuna,Marine,369.6,377.8,649.59,Female,2.3,33.7,7.83,19.1
Sailfish,Marine,149.0,294.7,83.876,Juvenile,23.3,34.9,8.19,3.3
Sailfish,Marine,112.3,319.9,104.769,Male,27.9,36.0,7.56,9.0
Bluefin Tuna,Marine,727.2,230.5,573.063,Juvenile,3.0,35.5,7.75,15.8
Mahi-Mahi,Marine,233.1,185.3,30.26,Female,5.5,35.6,7.8,4.3
Albacore Tuna,Marine,564.3,137.8,71.088,Juvenile,1.0,34.6,8.39,5.9
Blue Marlin,Marine,708.6,406.5,890.392,Juvenile,1.4,34.5,7.8,19.9
Albacore Tuna,Marine,517.9,137.4,61.445,Female,5.5,36.4,8.38,5.4
Wahoo,Marine,178.3,228.4,98.692,Juvenile,22.5,34.4,7.57,6.2
Yellowfin Tuna,Marine,790.4,195.8,134.797,Female,4.7,35.7,7.78,4.7
Albacore Tuna,Marine,279.3,131.0,64.524,Juvenile,1.2,35.4,8.27,8.3
Wahoo,Marine,269.0,282.5,64.893,Female,3.7,33.3,7.65,5.8
Bluefin Tuna,Marine,191.5,389.4,510.335,Juvenile,26.2,35.5,8.3,21.0
Swordfish,Marine,0.0,375.1,594.456,Female,25.8,35.8,7.95,3.2
Swordfish,Marine,336.3,314.1,676.609,Juvenile,2.0,35.3,8.37,4.9
Mahi-Mahi,Marine,14.5,201.0,19.121,Juvenile,27.7,35.8,7.54,1.9
Bluefin Tuna,Marine,37.5,358.1,741.248,Juvenile,23.1,33.1,8.3,16.4
Yellowfin Tuna,Marine,683.5,243.6,192.017,Juvenile,5.0,35.0,7.62,2.1
Swordfish,Marine,534.2,387.0,669.765,Female,3.0,36.4,8.07,4.2
Sailfish,Marine,153.8,243.2,76.556,Male,22.0,35.3,8.37,4.3
Blue Marlin,Marine,207.3,504.0,651.65,Juvenile,4.8,34.9,8.34,10.8
Sailfish,Marine,350.0,260.0,111.827,Male,1.3,36.6,8.28,7.2
Wahoo,Marine,96.7,261.9,93.947,Male,22.2,34.1,7.68,3.7
Albacore Tuna,Marine,369.9,141.0,49.666,Male,5.9,35.8,7.74,7.2
Albacore Tuna,Marine,103.3,132.0,47.508,Female,19.6,34.2,8.35,9.0
Bluefin Tuna,Marine,258.7,316.3,688.946,Juvenile,4.7,35.3,7.53,15.1
Sailfish,Marine,324.7,230.3,70.572,Male,1.8,33.2,8.17,9.6
Swordfish,Marine,547.0,392.3,621.858,Female,5.2,36.2,7.94,9.0
Wahoo,Marine,181.7,262.3,96.397,Female,24.6,33.8,8.37,5.6
Mahi-Mahi,Marine,86.1,189.4,25.946,Female,21.0,35.0,8.03,4.8
Yellowfin Tuna,Marine,143.8,287.8,243.361,Juvenile,26.1,34.7,7.55,2.9
Blue Marlin,Marine,457.4,477.6,892.333,Juvenile,3.8,33.3,8.33,15.4
Swordfish,Marine,649.6,478.6,691.859,Juvenile,2.8,35.3,8.34,1.8
Albacore Tuna,Marine,541.6,140.0,58.035,Male,4.7,36.7,7.68,9.5
Mahi-Mahi,Marine,242.6,247.8,47.124,Female,2.9,34.5,8.36,3.4
Albacore Tuna,Marine,522.1,171.3,70.421,Male,2.5,34.5,8.23,4.6
Swordfish,Marine,756.7,418.1,534.977,Male,4.0,34.0,7.61,4.4
Yellowfin Tuna,Marine,264.6,238.6,158.983,Female,2.4,35.5,7.6,3.6
Blue Marlin,Marine,695.1,503.2,908.891,Male,5.9,36.7,8.12,21.2
Albacore Tuna,Marine,532.8,114.1,53.863,Female,4.9,34.4,8.13,8.0
Sailfish,Marine,171.8,292.1,79.644,Juvenile,29.5,36.4,8.31,9.6
Albacore Tuna,Marine,134.7,159.5,60.781,Female,19.0,33.0,7.77,9.6
Albacore Tuna,Marine,154.6,150.5,41.097,Juvenile,29.7,34.3,8.29,5.2
Wahoo,Marine,247.3,286.7,87.755,Female,5.0,34.1,7.75,8.3
Sailfish,Marine,242.0,399.7,85.844,Juvenile,3.7,36.7,8.1,1.4
Swordfish,Marine,275.2,408.3,737.09,Male,3.1,33.8,7.78,7.6
Bluefin Tuna,Marine,1000.0,331.7,564.591,Male,1.1,35.3,8.3,16.9
Sailfish,Marine,84.3,285.1,99.079,Female,22.9,35.3,8.33,8.6
Blue Marlin,Marine,577.3,488.6,701.629,Male,4.1,35.6,7.89,6.6
Blue Marlin,Marine,760.3,543.3,767.148,Female,2.5,33.7,7.95,10.4
Yellowfin Tuna,Marine,650.9,253.0,243.075,Male,3.9,35.8,7.52,3.5
Blue Marlin,Marine,426.0,469.4,801.635,Juvenile,4.9,34.5,8.19,12.8
Sailfish,Marine,35.9,235.4,115.282,Male,26.5,36.6,7.74,3.3
Albacore Tuna,Marine,321.5,119.2,49.756,Male,4.6,33.4,7.71,9.8
Yellowfin Tuna,Marine,117.0,201.6,121.297,Juvenile,19.8,33.6,7.97,4.4
Bluefin Tuna,Marine,421.5,269.7,592.273,Female,1.7,34.3,8.07,19.4
Albacore Tuna,Marine,337.2,130.4,55.596,Juvenile,5.4,35.6,7.88,9.2
Albacore Tuna,Marine,288.0,99.0,65.215,Female,2.1,36.9,7.84,5.1
Bluefin Tuna,Marine,483.2,398.4,480.86,Juvenile,2.1,36.9,7.53,17.3
Bluefin Tuna,Marine,711.7,327.2,816.774,Juvenile,5.7,35.7,7.64,15.4
Blue Marlin,Marine,657.2,564.7,842.013,Female,3.8,36.6,8.26,12.8
Yellowfin Tuna,Marine,717.8,177.2,176.203,Female,3.6,35.3,8.2,3.7
Yellowfin Tuna,Marine,319.2,211.1,196.552,Female,5.4,33.6,8.13,5.1
Yellowfin Tuna,Marine,0.0,216.0,159.438,Female,20.8,34.9,7.97,3.2
Yellowfin Tuna,Marine,343.7,185.5,218.882,Juvenile,2.0,35.5,7.99,3.8
Mahi-Mahi,Marine,0.0,234.6,46.58,Juvenile,24.3,34.6,8.22,1.6
Bluefin Tuna,Marine,289.9,334.6,559.432,Juvenile,3.1,37.0,8.08,13.5
Albacore Tuna,Marine,85.7,121.5,41.752,Male,24.8,36.1,8.12,8.1
Bluefin Tuna,Marine,281.4,459.3,572.975,Male,4.3,36.2,8.1,15.4
Yellowfin Tuna,Marine,293.3,194.6,185.944,Female,5.5,36.6,7.79,4.6
Sailfish,Marine,148.4,354.0,73.725,Female,19.7,34.3,8.13,5.9
Wahoo,Marine,110.4,268.5,89.679,Male,18.7,35.7,8.09,1.7
Yellowfin Tuna,Marine,154.9,207.9,188.703,Female,25.2,34.8,8.3,5.6
Sailfish,Marine,303.2,299.9,103.223,Female,5.1,36.2,7.72,3.8
Albacore Tuna,Marine,67.0,154.1,61.03,Juvenile,22.1,35.8,8.38,4.7
Yellowfin Tuna,Marine,602.6,218.8,192.708,Juvenile,2.8,34.3,8.38,4.1
Yellowfin Tuna,Marine,216.0,217.9,246.949,Male,4.9,36.5,7.89,3.5
Blue Marlin,Marine,456.7,452.6,691.183,Juvenile,4.4,34.5,7.51,15.4
Bluefin Tuna,Marine,673.5,332.0,522.512,Juvenile,4.8,35.1,8.05,20.5
Wahoo,Marine,183.1,290.5,82.673,Female,26.5,35.0,7.96,5.4
Blue Marlin,Marine,99.8,643.7,826.262,Juvenile,21.9,34.3,7.97,14.4
Blue Marlin,Marine,77.4,460.2,721.012,Female,18.2,35.1,7.97,10.0
Sailfish,Marine,38.1,282.2,78.527,Male,24.8,35.8,7.55,4.1
Swordfish,Marine,511.3,351.3,718.588,Juvenile,4.5,33.1,7.63,5.4
Mahi-Mahi,Marine,143.7,190.5,43.672,Juvenile,21.7,36.8,7.74,1.4
Sailfish,Marine,269.2,321.7,68.318,Male,2.2,34.3,7.96,7.3
Yellowfin Tuna,Marine,608.6,230.9,163.733,Female,4.4,33.8,8.22,2.7
Yellowfin Tuna,Marine,273.2,232.9,236.979,Male,1.4,36.1,8.01,4.3
Blue Marlin,Marine,285.1,427.2,917.089,Female,5.9,35.0,8.33,15.1
Albacore Tuna,Marine,553.0,139.7,74.489,Juvenile,2.9,36.0,7.95,8.2
Yellowfin Tuna,Marine,739.8,199.6,141.189,Female,2.2,36.7,8.01,3.5
Yellowfin Tuna,Marine,608.7,262.5,226.821,Female,3.1,35.9,7.75,1.3
Blue Marlin,Marine,0.0,538.6,515.543,Male,28.1,34.3,7.66,15.4
Wahoo,Marine,101.3,250.8,66.43,Juvenile,26.4,33.5,8.23,6.0
Yellowfin Tuna,Marine,164.0,173.3,166.386,Juvenile,23.1,34.1,7.92,2.7
Wahoo,Marine,270.7,263.3,82.429,Juvenile,3.9,35.3,7.79,4.5
Mahi-Mahi,Marine,22.8,163.2,40.372,Juvenile,20.9,33.5,8.33,3.3
Wahoo,Marine,165.5,306.9,68.997,Juvenile,26.4,36.3,7.96,5.0
Yellowfin Tuna,Marine,109.3,270.1,147.63,Female,27.9,36.4,8.04,2.8
Sailfish,Marine,162.5,382.3,117.004,Female,27.2,34.9,8.04,5.2
Yellowfin Tuna,Marine,497.9,215.7,231.068,Juvenile,1.0,34.4,8.0,3.2
Wahoo,Marine,145.3,220.7,90.904,Female,24.1,33.8,7.91,5.9
Albacore Tuna,Marine,490.1,154.4,23.532,Juvenile,5.8,34.0,7.7,8.1
Wahoo,Marine,81.8,230.3,101.934,Female,26.4,36.3,8.32,5.6
Bluefin Tuna,Marine,550.7,360.4,619.471,Female,3.9,36.8,7.95,17.5
Yellowfin Tuna,Marine,443.7,207.5,260.667,Female,2.1,33.9,8.1,3.9
Bluefin Tuna,Marine,0.0,405.6,715.015,Juvenile,20.8,33.8,8.05,13.4
Bluefin Tuna,Marine,830.8,398.0,619.237,Female,5.5,33.4,8.33,23.7
Bluefin Tuna,Marine,591.6,378.8,760.338,Juvenile,3.5,35.5,7.64,19.5
Albacore Tuna,Marine,592.2,186.3,65.35,Female,1.0,35.4,8.32,7.2
Yellowfin Tuna,Marine,770.0,217.0,226.277,Male,3.7,36.7,7.86,4.2
Blue Marlin,Marine,570.5,481.3,527.299,Male,3.5,35.1,8.39,14.5
Swordfish,Marine,240.3,371.6,693.559,Juvenile,4.7,36.3,7.87,6.6
Swordfish,Marine,544.5,486.3,684.551,Female,1.9,36.8,7.82,6.5
Sailfish,Marine,216.0,274.3,91.665,Male,5.6,36.4,7.74,6.4
Wahoo,Marine,157.0,230.7,83.2,Female,18.8,33.8,8.0,4.7
Swordfish,Marine,526.5,373.9,493.35,Female,3.0,35.9,8.23,5.4
Yellowfin Tuna,Marine,367.9,271.5,181.693,Male,4.0,36.5,7.9,2.2
Blue Marlin,Marine,405.6,462.0,867.987,Male,5.5,35.1,7.53,10.7
Bluefin Tuna,Marine,471.4,366.8,649.74,Juvenile,5.8,34.2,7.8,14.5
Yellowfin Tuna,Marine,482.4,188.6,223.801,Male,1.0,34.0,7.96,2.5
Bluefin Tuna,Marine,0.0,537.2,712.47,Female,19.2,33.9,7.85,19.6
Bluefin Tuna,Marine,497.0,483.9,582.694,Juvenile,3.8,36.4,8.13,16.0
Blue Marlin,Marine,272.7,517.1,877.09,Female,5.6,35.6,8.16,16.6
Blue Marlin,Marine,528.6,477.1,838.34,Female,1.4,34.4,7.9,2.1
Wahoo,Marine,219.8,253.1,98.021,Juvenile,1.4,34.7,8.29,5.5
Swordfish,Marine,651.8,320.1,755.876,Male,5.7,33.7,7.7,5.4
Bluefin Tuna,Marine,285.5,414.1,705.391,Female,2.6,34.3,7.97,12.6
Yellowfin Tuna,Marine,740.1,260.8,170.115,Male,2.8,34.9,8.32,3.6
Wahoo,Marine,195.0,280.0,76.827,Juvenile,29.1,35.9,7.85,7.6
Yellowfin Tuna,Marine,137.3,136.1,171.015,Juvenile,18.7,36.3,7.69,4.6
Sailfish,Marine,350.0,383.3,92.886,Female,4.8,34.6,8.08,6.1
Bluefin Tuna,Marine,420.0,364.2,586.068,Juvenile,1.8,36.1,7.68,17.1
Wahoo,Marine,0.0,268.9,74.182,Juvenile,28.7,33.2,7.65,8.1
Blue Marlin,Marine,673.3,443.2,715.321,Juvenile,4.5,36.6,7.85,11.5
Sailfish,Marine,212.6,313.7,116.754,Juvenile,3.6,34.4,8.21,2.9
Yellowfin Tuna,Marine,232.4,221.8,204.447,Male,1.2,33.1,7.67,3.9
Yellowfin Tuna,Marine,563.5,186.7,203.795,Juvenile,1.2,34.4,7.61,6.4
Swordfish,Marine,104.4,371.2,789.93,Juvenile,26.8,35.8,8.2,5.9
Blue Marlin,Marine,456.1,413.4,717.355,Female,5.1,33.6,7.51,11.7
Swordfish,Marine,53.8,467.9,584.93,Male,20.9,34.4,7.57,0.8
Bluefin Tuna,Marine,77.0,406.9,596.677,Male,18.2,34.9,7.8,12.7
Albacore Tuna,Marine,310.2,145.9,65.959,Male,5.5,35.5,8.38,7.9
Sailfish,Marine,104.7,285.0,78.848,Juvenile,20.9,36.3,7.86,4.7
Wahoo,Marine,155.1,284.6,67.16,Juvenile,23.0,34.1,8.14,6.7
Swordfish,Marine,670.2,442.9,599.394,Male,2.2,35.0,7.61,5.3
Mahi-Mahi,Marine,117.6,180.0,51.554,Male,20.4,35.2,8.08,1.8
Bluefin Tuna,Marine,901.2,259.6,492.337,Juvenile,3.6,37.0,8.06,14.0
Mahi-Mahi,Marine,158.8,173.1,30.833,Female,20.5,34.9,7.6,0.8
Wahoo,Marine,154.3,307.6,72.858,Male,29.5,34.6,7.61,5.7
Swordfish,Marine,236.7,332.7,698.299,Male,2.8,35.8,8.26,7.7
Wahoo,Marine,0.0,277.5,96.011,Male,28.4,36.1,8.24,3.5
Sailfish,Marine,251.8,319.5,115.45,Male,3.8,33.6,7.79,5.4
Albacore Tuna,Marine,244.0,126.7,55.912,Juvenile,5.4,33.5,7.6,5.7
Yellowfin Tuna,Marine,605.9,192.3,194.5,Female,5.9,36.8,7.9,4.6
Sailfish,Marine,97.6,263.1,78.757,Juvenile,18.5,33.6,7.61,4.7
Mahi-Mahi,Marine,71.7,238.4,49.189,Male,22.2,36.8,7.83,2.6
Swordfish,Marine,113.8,274.5,521.902,Female,23.1,34.2,8.35,6.7
Swordfish,Marine,738.3,419.3,622.936,Juvenile,5.3,35.2,7.66,5.8
Bluefin Tuna,Marine,939.6,342.1,690.454,Female,3.9,36.4,7.93,24.5
Mahi-Mahi,Marine,249.4,228.2,37.714,Juvenile,1.7,35.7,8.19,3.2
Albacore Tuna,Marine,457.0,127.8,54.705,Female,4.4,36.8,7.96,8.0
Yellowfin Tuna,Marine,364.8,204.6,165.934,Juvenile,3.2,33.4,8.13,4.2
Blue Marlin,Marine,382.7,531.5,1031.458,Female,4.4,34.3,7.91,14.3
Yellowfin Tuna,Marine,574.0,209.6,245.9,Female,2.6,35.8,8.01,2.3
Albacore Tuna,Marine,383.5,106.7,59.708,Female,3.4,36.5,8.17,5.7
Mahi-Mahi,Marine,165.1,222.4,34.619,Female,26.4,36.0,7.52,2.2
Swordfish,Marine,755.0,541.9,549.527,Juvenile,4.8,34.7,7.67,6.3
Bluefin Tuna,Marine,97.9,333.0,773.651,Male,23.4,33.3,7.88,22.6
Bluefin Tuna,Marine,458.0,349.4,574.412,Juvenile,3.4,35.1,8.03,21.5
Yellowfin Tuna,Marine,383.8,266.1,95.118,Female,4.3,36.5,7.79,2.6
Wahoo,Marine,221.3,256.1,78.217,Female,2.8,36.4,7.83,5.0
Mahi-Mahi,Marine,181.3,205.6,40.754,Juvenile,23.8,33.0,7.88,3.6
Sailfish,Marine,261.3,346.3,70.032,Female,5.6,33.2,7.52,5.4
Wahoo,Marine,53.0,252.8,78.542,Juvenile,27.0,34.3,8.21,1.3
Bluefin Tuna,Marine,404.8,354.7,723.952,Female,1.0,33.5,7.69,18.2
Wahoo,Marine,151.7,226.2,58.066,Male,18.8,36.8,7.51,5.2
Swordfish,Marine,709.1,370.3,597.368,Juvenile,1.1,35.2,7.58,6.1
Swordfish,Marine,280.2,453.9,670.515,Juvenile,2.8,33.4,7.89,6.4
Bluefin Tuna,Marine,408.0,284.7,541.275,Female,1.6,34.4,7.64,23.3
Wahoo,Marine,42.5,254.3,81.645,Juvenile,27.3,34.0,8.12,4.0
Yellowfin Tuna,Marine,827.5,235.2,159.25,Juvenile,5.1,36.4,7.72,3.3
Yellowfin Tuna,Marine,536.9,182.5,250.675,Juvenile,4.9,34.0,7.88,3.4
Wahoo,Marine,174.8,207.2,40.562,Female,18.6,35.6,7.95,4.3
Yellowfin Tuna,Marine,707.0,219.2,155.887,Juvenile,1.2,33.8,8.33,4.9
Wahoo,Marine,204.8,266.2,71.124,Female,4.1,36.2,7.93,5.0
Albacore Tuna,Marine,53.0,170.4,47.861,Male,27.4,35.4,8.03,4.5
Bluefin Tuna,Marine,461.8,420.6,792.342,Female,5.3,33.2,8.24,16.8
Swordfish,Marine,451.7,349.2,611.777,Female,3.6,34.0,8.37,6.8
Wahoo,Marine,48.2,254.7,79.611,Male,21.5,33.4,7.59,4.9
Mahi-Mahi,Marine,154.2,219.4,43.057,Male,29.3,36.5,7.86,2.7
Wahoo,Marine,187.5,249.8,68.259,Juvenile,28.5,35.3,8.11,7.4
Yellowfin Tuna,Marine,104.3,227.1,206.826,Male,26.0,34.9,8.02,3.5
Blue Marlin,Marine,462.1,459.9,971.166,Female,3.4,35.3,8.38,21.3
Albacore Tuna,Marine,377.4,131.2,64.022,Male,3.0,33.2,7.66,3.3
Albacore Tuna,Marine,259.4,110.0,63.938,Male,2.5,36.4,8.32,8.4
Bluefin Tuna,Marine,560.1,396.7,695.516,Juvenile,3.9,36.4,8.26,22.7
Sailfish,Marine,245.6,242.3,116.442,Male,3.9,35.6,7.97,6.5
Albacore Tuna,Marine,336.1,142.2,49.895,Juvenile,2.9,34.0,7.82,7.7
Sailfish,Marine,333.1,278.5,100.135,Male,2.0,33.1,7.92,5.4
Sailfish,Marine,285.5,266.5,87.442,Female,5.4,33.5,8.03,6.9
Wahoo,Marine,192.0,251.1,93.09,Female,26.3,36.6,8.2,6.9
Yellowfin Tuna,Marine,536.3,176.1,183.966,Female,2.2,36.4,7.74,3.8
Blue Marlin,Marine,11.7,525.9,823.677,Juvenile,18.4,33.5,7.5,11.9
Bluefin Tuna,Marine,646.8,415.1,569.541,Female,2.9,33.0,7.93,14.3
Swordfish,Marine,460.7,475.5,612.78,Male,2.8,35.3,8.21,7.9
Sailfish,Marine,81.3,277.7,73.595,Juvenile,21.5,35.5,8.36,7.6
Swordfish,Marine,293.1,429.6,546.736,Female,3.0,33.5,7.59,3.9
Mahi-Mahi,Marine,105.2,208.2,32.386,Male,19.0,33.4,7.73,2.8
Blue Marlin,Marine,483.4,460.6,792.155,Male,3.7,34.0,7.6,5.2
Mahi-Mahi,Marine,105.8,193.9,53.564,Juvenile,21.5,36.4,7.63,1.6
Mahi-Mahi,Marine,106.7,171.4,44.677,Juvenile,24.3,35.3,8.05,2.8
Wahoo,Marine,94.8,270.9,78.331,Female,22.2,33.9,7.81,7.0
Bluefin Tuna,Marine,266.3,358.6,593.941,Juvenile,5.0,33.3,8.17,23.6
Swordfish,Marine,147.5,454.0,693.587,Juvenile,26.8,33.2,7.8,3.9
Wahoo,Marine,86.9,230.0,89.825,Juvenile,27.3,34.6,7.64,4.8
Swordfish,Marine,0.0,432.0,583.294,Juvenile,20.8,34.8,7.84,4.5
Blue Marlin,Marine,366.2,487.0,794.337,Female,1.4,34.6,8.2,19.7
Albacore Tuna,Marine,202.1,158.1,84.105,Juvenile,5.8,34.4,7.79,5.0
Mahi-Mahi,Marine,169.4,243.2,33.374,Juvenile,27.0,34.0,7.91,2.7
Wahoo,Marine,66.1,329.1,78.318,Juvenile,20.7,36.0,7.9,3.5
Wahoo,Marine,137.7,217.4,73.882,Female,26.1,33.9,7.93,6.3
Albacore Tuna,Marine,314.5,122.5,79.551,Juvenile,3.2,37.0,8.34,5.7
Yellowfin Tuna,Marine,846.5,280.2,212.241,Female,5.2,36.0,7.69,4.5
Wahoo,Marine,154.3,232.1,73.905,Male,26.9,33.3,7.72,3.5
Wahoo,Marine,323.9,215.0,68.961,Male,5.8,35.5,8.05,4.4
Mahi-Mahi,Marine,177.1,187.0,52.831,Male,23.2,33.6,7.52,2.8
Swordfish,Marine,212.1,484.1,517.842,Female,3.3,34.5,8.16,2.4
Sailfish,Marine,190.5,257.2,87.038,Juvenile,24.3,34.6,8.0,7.6
Mahi-Mahi,Marine,129.5,175.9,39.055,Female,24.0,34.9,8.33,3.2
Wahoo,Marine,195.2,297.5,92.587,Male,20.5,35.5,8.03,4.0
Sailfish,Marine,233.1,324.7,92.135,Male,5.4,33.7,8.24,6.7
Blue Marlin,Marine,132.4,431.2,748.085,Female,22.3,36.5,7.85,9.1
Yellowfin Tuna,Marine,627.7,205.0,181.216,Juvenile,4.1,34.6,8.03,2.6
Wahoo,Marine,59.0,230.1,103.353,Male,18.9,36.5,7.81,5.1
Albacore Tuna,Marine,410.1,170.8,65.008,Female,6.0,36.1,7.87,5.5
